question,answer
-1,我不明白您的意思
1,您好！
2,好的。
3,我叫云天明。
4,25岁。
5,我现在住中大宿舍。
6,大学本科毕业。
7,我老家是福建的。
8,我是汉族。
9,我还在找工作。
10,坐地铁过来的。
11,我自己过来的。
12,我咳嗽得厉害，痰很多
13,大约有一个星期了
14,可能上周跟同学去踢球，遇到下雨，着凉了。
15,也不算很忙，就是有时候晚上打游戏到凌晨2、3点钟的样子
16,是有点着凉，踢完球隔天就感觉有点感冒的样子。
17,开始就是有点打喷嚏，流鼻水。
18,没有
19,自己随便吃了些感冒药
20,没啥效果
21,没有
22,我自己没有测过体温
23,有感到发冷
24,是的
25,吃了些感冒药
26,不知道，我没有量
27,不知道，我没有量体温
28,大概3天前
29,左边痛
30,这里（手指身体部位）
31,就像针扎一样痛
32,我也说不清楚
33,嗯，感觉呼吸都痛
34,睡觉都不舒服
35,似乎好一些
36,很厉害
37,晚上咳嗽更严重
38,有痰，又浓又黄的
39,痰很浓
40,黄色的
41,偶尔有些血丝
42,挺多的
43,还行吧
44,痰还能有好闻的么？
45,有点
46,目前没有
47,没有
48,没有
49,我来这里上大学
50,家里人都挺好的
51,父母身体还好
52,我妈有点高血压
53,有个弟弟
54,他身体挺好的
55,我不抽烟不喝酒
56,没有过敏
57,记不清了
58,我平时喜欢跟同学一起去踢足球
59,食欲不好
60,1.8米
61,没什么特别的
62,这几天吃不好，感觉是瘦了
63,还算正常吧
64,这还可以
65,没什么精神
66,咳嗽厉害，睡不好
67,不太清楚
68,没有呢
69,家里人都在老家，我一个人在这里找工作
70,我还没结婚呢
71,还在找工作
72,我有社保
73,我没有信什么教
74,好的。
